@relation 'AT: Zones9_15k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.228attr_32-0.225attr_13-0.216attr_20-0.211attr_2-0.202attr_12... numeric
@attribute -0.326attr_18-0.275attr_17+0.269attr_8+0.255attr_3-0.249attr_21... numeric
@attribute 0.315attr_15-0.29attr_31+0.289attr_1-0.273attr_34+0.263attr_12... numeric
@attribute 0.337attr_5-0.3attr_14+0.299attr_23+0.285attr_2-0.277attr_13... numeric
@attribute -0.335attr_10+0.307attr_36+0.302attr_33-0.294attr_13+0.283attr_32... numeric
@attribute 0.439attr_26-0.292attr_6+0.288attr_25+0.287attr_10-0.271attr_28... numeric
@attribute -0.489attr_27-0.301attr_29-0.281attr_30-0.254attr_28-0.237attr_11... numeric
@attribute 0.346attr_32-0.327attr_30+0.305attr_23+0.289attr_12-0.28attr_17... numeric
@attribute '-0.356attr_7-0.347attr_25+0.346attr_33+0.329attr_35+0.29 attr_30...' numeric
@attribute 0.445attr_9-0.344attr_27+0.311attr_29-0.284attr_11+0.262attr_22... numeric
@attribute '-0.445attr_1-0.352attr_33-0.344attr_22+0.302attr_9+0.27 attr_36...' numeric
@attribute '0.47 attr_24-0.363attr_34+0.354attr_1-0.336attr_3-0.278attr_11...' numeric
@attribute 0.638attr_36-0.461attr_34+0.325attr_22-0.234attr_25+0.174attr_19... numeric
@attribute 0.604attr_3-0.344attr_24+0.303attr_29-0.27attr_11-0.233attr_7... numeric
@attribute -0.453attr_11-0.388attr_33-0.284attr_24+0.262attr_9+0.223attr_12... numeric
@attribute -0.714attr_18+0.272attr_9+0.224attr_16+0.203attr_1+0.183attr_19... numeric
@attribute 0.356attr_33+0.273attr_24-0.273attr_16+0.268attr_36-0.259attr_8... numeric
@attribute CLASS {A,AA,ADA,AN,BA,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-2.926057,1.027968,0.659969,-0.289885,-0.845645,-0.080242,-0.100099,0.10389,-0.358671,-0.878984,-0.393667,-0.391459,0.234185,0.003946,-0.849803,0.126204,-0.172862,A
-3.571005,0.236316,0.950185,0.118354,-0.904026,-0.057679,0.024334,0.057378,-0.478438,-0.629192,-0.292252,-0.225282,0.263763,-0.169637,-0.884524,-0.173794,-0.021949,A
-0.64201,-2.279729,-1.049077,-2.778686,-0.989191,2.637729,-1.569945,0.79643,0.30926,0.157591,0.007339,-0.521702,0.207586,-0.721972,-0.470614,0.66953,-0.125558,A
-3.280219,0.435552,0.106996,0.573434,-0.846728,-0.728263,-0.116086,0.309145,0.415101,-1.072628,0.594916,-0.449947,-0.064102,-0.193958,-0.572033,-0.348485,0.120179,A
-3.528734,0.089693,0.880179,0.68456,-1.294335,-0.389939,0.359898,-0.203432,0.198819,-0.708436,-0.294778,-0.436244,-0.655729,-0.379548,-0.839182,-0.34521,-0.010989,A
-1.672133,1.316914,1.079687,0.744836,-0.092805,-0.416378,-0.356868,0.705267,0.299922,-1.106895,0.449259,0.176227,0.181932,0.767715,-0.764083,0.242083,0.011266,A
-2.908673,0.90739,0.099101,0.099709,-0.72073,-0.089699,0.258739,0.070954,-0.144672,-0.50374,-0.963465,-0.090618,0.061382,-0.85399,-0.4917,-0.177962,0.150061,A
-2.217451,1.524976,0.132029,0.36712,-0.789688,0.056038,-0.254826,0.351608,0.319597,-0.55563,-0.47647,-0.620853,-0.291852,0.062705,-1.112626,0.135552,-0.296519,A
-0.510186,-0.124828,-0.033515,0.069836,-0.769712,0.595291,4.233441,3.086398,-0.160628,0.436631,0.610143,0.021481,-0.354902,0.32039,0.296559,0.122845,-0.090663,A
-2.688722,0.842127,0.260882,-0.090415,-0.86632,-0.120587,0.005709,0.097603,0.631638,-0.495571,0.588093,-1.296245,-0.426742,-0.218864,-1.444847,-0.52169,-0.393357,A
-0.632564,-0.275252,-0.129212,0.134455,-0.9862,0.750722,4.334127,2.824382,-0.161305,0.456547,0.906307,0.121329,-0.303792,0.111157,0.452658,-0.031473,-0.090185,A
-2.826619,0.234504,0.547202,-0.49904,-1.096576,0.119762,-0.105474,0.293603,-0.267908,-0.747827,-0.441317,-0.386789,0.145248,-0.187927,-0.592842,0.092516,-0.089788,A
-2.723589,0.849817,0.238429,-0.405285,-0.884814,0.031764,-0.106881,0.200548,-0.467777,-0.756266,-0.800986,0.158137,-0.066101,-0.320209,-0.679687,0.433112,-0.281306,A
1.820182,2.331861,0.294883,-0.958382,-1.219195,0.478445,3.190475,3.631335,0.182138,-0.323947,0.407321,0.058198,-0.395754,0.739019,0.325031,0.300929,0.802653,A
0.05757,0.408243,-0.243937,-0.076082,-0.766179,0.777016,4.124435,3.051001,-0.26221,-0.024097,0.462205,0.020583,-0.397931,0.436215,0.07156,0.302896,-0.134698,A
-1.988679,1.14392,0.381412,0.342016,-1.169498,-0.315847,0.323081,0.307892,0.454175,-1.038651,0.297882,-1.543919,0.273907,-0.339858,-0.984134,-0.109145,-0.270938,A
-2.661233,1.349776,0.055288,0.153659,-1.061257,-0.091888,-0.073774,0.151693,0.582163,-0.592752,-0.136567,-0.796716,-0.237745,-0.149032,-1.166784,-0.145731,-0.263058,A
-2.355242,-0.625721,1.073262,0.314457,-0.459861,-0.857204,0.426416,-0.568577,0.145401,-0.416954,0.801017,0.247137,-0.52766,0.150935,0.160192,-0.616944,0.094597,A
