@relation 'AT: frechetCheckA - Copy-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.569attr_4-0.516attr_2-0.514attr_6-0.314attr_5-0.199attr_1... numeric
@attribute -0.671attr_3-0.583attr_1+0.314attr_4+0.248attr_6-0.171attr_2... numeric
@attribute '-0.715attr_5+0.47 attr_2-0.284attr_1+0.276attr_3+0.259attr_6...' numeric
@attribute -0.51attr_6-0.449attr_5+0.444attr_1+0.382attr_4-0.365attr_3... numeric
@attribute '0.551attr_6-0.535attr_2+0.52 attr_1-0.374attr_5-0.026attr_3...' numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-1.242929,-0.579333,0.261724,-0.136259,0.085406,A
-1.200994,-0.783266,0.109394,-0.504629,0.06793,A
-1.062986,-0.568545,-0.124034,-0.363885,-0.459893,A
-0.059576,-0.694809,-0.074326,-0.083018,-0.168603,A
-1.088632,-0.416228,0.176224,-0.422124,0.329848,A
-0.919557,-0.576615,-0.04358,-0.644829,-0.13888,A
-1.142772,-0.965315,0.025263,-0.480911,-0.150186,A
-0.936001,-0.34536,0.007353,-0.329452,-0.458108,A
-0.992186,-0.662839,0.168949,-0.290579,0.129107,A
-1.464326,-0.523669,0.344337,-0.322298,0.255512,A
-1.282708,-0.570152,-0.011926,-0.322717,-0.245267,A
-1.172033,-1.123501,0.275282,-0.292903,0.042746,A
-1.53444,-0.498376,0.232915,-0.270085,-0.067587,A
-1.148628,-0.610414,-0.018847,-0.206646,-0.286758,A
-0.51255,-0.599692,-0.31054,-0.132838,-0.463509,A
-1.342671,-0.656056,0.20107,-0.58254,-0.05273,A
-1.22915,-0.785334,0.290367,-0.242346,-0.073238,A
-0.66851,-0.937802,0.115311,-0.465465,-0.061706,A
