@relation 'AT: Zone4_10k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.575attr_4-0.478attr_6-0.471attr_2-0.383attr_5-0.261attr_1... numeric
@attribute -0.696attr_3-0.542attr_1+0.328attr_4+0.245attr_6-0.232attr_2... numeric
@attribute '0.635attr_5-0.484attr_2-0.393attr_6+0.37 attr_1-0.22attr_3...' numeric
@attribute -0.551attr_6-0.479attr_5+0.407attr_4+0.327attr_2-0.324attr_3... numeric
@attribute 0.559attr_1-0.503attr_2+0.476attr_6-0.448attr_5+0.067attr_4... numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
0.104549,-0.526423,0.725304,0.212165,0.366977,AA
0.091661,-0.835356,-0.04797,0.018587,-0.248465,AA
-0.619762,0.062729,0.268723,0.27774,-0.376773,AA
-0.601745,-0.521742,0.463904,0.247651,0.122222,AA
-0.556247,-0.828843,-0.032856,0.048242,-0.146105,AA
-0.657027,-0.371703,0.242843,0.199707,0.065817,AA
-0.921258,-0.410768,0.053322,0.208143,0.321933,AA
-0.304523,-0.667884,0.187037,0.057119,-0.246123,AA
-0.315077,-0.318475,0.136233,0.260399,-0.256742,AA
-1.009362,-0.297048,0.199224,-0.010372,-0.001672,AA
-0.62575,-0.475678,0.585908,0.326031,-0.036534,AA
-0.884798,-0.305117,0.177166,0.241545,0.002758,AA
-0.768751,-0.192431,0.057357,0.194319,-0.174069,AA
-0.589097,-0.002462,0.090436,0.34155,-0.216519,AA
-0.938746,-0.459349,-0.016217,0.114933,0.402813,AA
-0.822756,0.069733,0.192647,0.389435,-0.029882,AA
-0.553835,-0.639963,-0.127177,0.12214,-0.314182,AA
-1.045787,-0.208879,0.094395,0.512742,0.102885,AA
-0.086885,-0.30573,0.056163,0.26034,-0.136782,AA
-0.555698,-0.315962,0.109158,0.182047,-0.463819,AA
-0.638043,-0.579864,-0.048554,-0.260673,-0.339678,AA
-0.276234,-0.606525,0.027675,0.361851,-0.26501,AA
-0.239854,-0.756248,-0.16159,0.323831,-0.483798,AA
-0.619186,-0.823263,-0.113718,0.122114,-0.231933,AA
0.214583,-0.668764,0.304352,-0.120684,-0.319563,AA
-0.103414,-0.734615,0.092827,0.023716,-0.206266,AA
-0.586382,-0.675192,0.121147,0.048608,-0.301556,AA
-0.023521,-0.443626,-0.092511,0.055704,-0.194742,AA
-0.091635,-0.412412,0.765596,0.256423,0.240704,AA
-0.927478,-0.380264,0.487122,-0.126349,0.556546,AA
-0.040158,-0.788882,0.100379,-0.131643,-0.196834,AA
0.108633,-0.549486,0.202503,0.05859,-0.097123,AA
